time,people
19:40:39,1
19:40:39,1
19:40:40,1
19:40:40,1
19:40:40,1
19:40:40,1
19:40:40,1
19:40:40,1
19:40:40,1
19:40:40,1
19:40:41,1
19:40:41,1
19:40:41,1
19:40:41,1
19:40:41,1
19:40:41,1
19:40:41,1
19:40:41,1
19:40:41,1
19:40:43,1
19:40:43,1
19:40:43,1
19:40:44,1
19:40:44,1
19:40:44,1
19:40:45,1
19:40:45,1
19:40:45,1
19:40:45,1
19:40:46,1
19:40:46,1
19:40:46,1
19:40:46,1
19:40:46,1
19:40:47,1
19:40:47,1
19:40:47,1
19:40:47,1
19:40:47,1
19:40:47,1
19:40:48,1
19:40:48,1
19:40:48,0
19:40:48,0
19:40:48,1
19:40:48,1
19:40:49,1
19:40:49,1
19:40:49,1
19:40:49,1
19:40:49,1
19:40:49,1
19:40:50,1
19:40:50,1
19:40:50,1
19:40:50,1
19:40:50,0
19:40:50,0
19:40:50,1
19:40:51,1
19:40:51,1
19:40:51,1
19:40:51,1
19:40:51,1
19:40:51,1
19:40:52,1
19:40:52,1
19:40:52,1
19:40:52,1
19:40:52,1
19:40:52,1
19:40:53,1
19:40:53,1
19:40:53,1
19:40:53,1
19:40:53,1
19:40:53,1
19:40:53,1
19:40:54,1
19:40:54,1
19:40:54,1
19:40:54,1
19:40:55,1
19:40:55,1
19:40:55,1
19:40:55,1
19:40:55,1
19:40:55,1
19:40:55,1
19:40:56,1
19:40:56,1
19:40:56,1
19:40:56,1
19:40:56,1
19:40:56,1
19:40:56,1
19:40:56,1
19:40:57,1
19:40:57,1
19:40:57,1
19:40:57,1
19:40:57,1
19:40:57,1
19:40:57,1
19:40:57,1
19:40:57,1
19:40:58,1
19:40:58,1
19:40:58,1
19:40:58,1
19:40:58,1
19:40:58,1
19:40:58,1
19:40:58,1
19:40:58,1
19:40:59,1
19:40:59,1
19:40:59,1
19:40:59,1
19:40:59,1
19:40:59,1
19:40:59,1
19:40:59,1
19:40:59,1
19:40:59,1
19:41:00,1
19:41:00,1
19:41:00,1
19:41:00,1
19:41:00,1
19:41:00,1
19:41:00,1
19:41:00,1
19:41:00,1
19:41:01,1
19:41:01,1
19:41:01,1
19:41:01,1
19:41:01,1
19:41:01,1
19:41:01,1
19:41:01,1
19:41:01,1
19:41:02,1
19:41:02,1
19:41:02,1
19:41:02,1
19:41:02,1
19:41:02,1
19:41:02,1
19:41:02,1
19:41:02,1
19:41:02,1
19:41:03,1
19:41:03,1
19:41:03,1
19:41:03,1
19:41:03,1
19:41:03,1
19:41:03,1
19:41:03,1
19:41:03,1
19:41:03,1
19:41:04,1
19:41:04,1
19:41:04,1
